gene_name	type	chromsome	start	stop	length	strand
AT4G10040	protein_coding_gene	Chr4	6276998	6278509	1512	+
AT4G10050	protein_coding_gene	Chr4	6284450	6287293	2844	-
AT4G10060	protein_coding_gene	Chr4	6288827	6295402	6576	+
AT4G10070	protein_coding_gene	Chr4	6295608	6299836	4229	-
AT4G10080	protein_coding_gene	Chr4	6300058	6302654	2597	-
AT4G10090	protein_coding_gene	Chr4	6305368	6307518	2151	+
AT4G10100	protein_coding_gene	Chr4	6308683	6309546	864	+
AT4G10110	protein_coding_gene	Chr4	6309393	6310869	1477	-
AT4G10112	protein_coding_gene	Chr4	6311477	6311581	105	-
AT4G10115	protein_coding_gene	Chr4	6312104	6312557	454	-
AT4G10120	protein_coding_gene	Chr4	6314787	6319936	5150	+
AT4G10130	protein_coding_gene	Chr4	6320634	6321643	1010	-
AT4G10140	protein_coding_gene	Chr4	6322457	6324664	2208	+
AT4G10150	protein_coding_gene	Chr4	6328136	6329589	1454	+
AT4G10160	protein_coding_gene	Chr4	6336023	6337332	1310	+
AT4G10170	protein_coding_gene	Chr4	6344331	6345537	1207	+
AT4G10180	protein_coding_gene	Chr4	6346463	6349276	2814	+
AT4G10190	protein_coding_gene	Chr4	6350928	6352031	1104	+
AT4G10200	protein_coding_gene	Chr4	6353172	6355591	2420	+
AT4G10210	protein_coding_gene	Chr4	6357052	6360377	3326	+
AT4G10220	protein_coding_gene	Chr4	6362189	6365079	2891	+
AT4G10230	protein_coding_gene	Chr4	6366261	6367185	925	+
AT4G10240	protein_coding_gene	Chr4	6368936	6369526	591	-
AT4G10250	protein_coding_gene	Chr4	6370343	6371291	949	+
AT4G10260	protein_coding_gene	Chr4	6371377	6372770	1394	-
AT4G10265	protein_coding_gene	Chr4	6373097	6373536	440	-
AT4G10270	protein_coding_gene	Chr4	6374734	6375210	477	+
AT4G10280	protein_coding_gene	Chr4	6375125	6376111	987	-
AT4G10290	protein_coding_gene	Chr4	6379701	6381739	2039	-
AT4G10300	protein_coding_gene	Chr4	6384462	6386189	1728	+
AT4G10310	protein_coding_gene	Chr4	6391984	6395877	3894	+
AT4G10320	protein_coding_gene	Chr4	6397330	6404596	7267	-
AT4G10330	protein_coding_gene	Chr4	6406541	6407777	1237	+
AT4G10340	protein_coding_gene	Chr4	6408016	6409677	1662	+
AT4G10345	miRNA	Chr4	6413010	6413342	333	+
AT4G10350	protein_coding_gene	Chr4	6415256	6416829	1574	-
AT4G10360	protein_coding_gene	Chr4	6420455	6422380	1926	+
AT4G10370	protein_coding_gene	Chr4	6423577	6425661	2085	-
AT4G10380	protein_coding_gene	Chr4	6431236	6434822	3587	-
AT4G10390	protein_coding_gene	Chr4	6441673	6443435	1763	-
AT4G10400	protein_coding_gene	Chr4	6446209	6448136	1928	-
AT4G10410	protein_coding_gene	Chr4	6448983	6449998	1016	-
AT4G10420	protein_coding_gene	Chr4	6453085	6454209	1125	-
AT4G10430	protein_coding_gene	Chr4	6454703	6458089	3387	-
AT4G10440	protein_coding_gene	Chr4	6459728	6461932	2205	-
AT4G10450	protein_coding_gene	Chr4	6462953	6464544	1592	-
AT4G10457	protein_coding_gene	Chr4	6466900	6467270	371	-
AT4G10465	protein_coding_gene	Chr4	6473547	6475434	1888	+
AT4G10470	protein_coding_gene	Chr4	6476014	6477883	1870	+
AT4G10480	protein_coding_gene	Chr4	6477876	6479165	1290	-
AT4G10490	protein_coding_gene	Chr4	6483867	6485360	1494	+
AT4G10500	protein_coding_gene	Chr4	6491017	6492476	1460	+
AT4G10507	other_RNA	Chr4	6494707	6495211	505	+
AT4G10510	protein_coding_gene	Chr4	6495955	6499010	3056	+
AT4G10520	protein_coding_gene	Chr4	6499794	6502866	3073	+
AT4G10530	protein_coding_gene	Chr4	6508600	6511670	3071	+
AT4G10540	protein_coding_gene	Chr4	6512515	6515743	3229	-
AT4G10550	protein_coding_gene	Chr4	6516492	6520317	3826	-
AT4G10560	protein_coding_gene	Chr4	6520771	6522882	2112	-
AT4G10570	protein_coding_gene	Chr4	6523255	6528173	4919	-
AT4G10590	protein_coding_gene	Chr4	6538541	6543448	4908	-
AT4G10595	protein_coding_gene	Chr4	6545340	6546401	1062	+
AT4G10596	protein_coding_gene	Chr4	6546697	6546795	99	-
AT4G10600	protein_coding_gene	Chr4	6547786	6548864	1079	-
AT4G10603	protein_coding_gene	Chr4	6550978	6551834	857	+
AT4G10610	protein_coding_gene	Chr4	6557177	6559595	2419	+
AT4G10613	protein_coding_gene	Chr4	6560363	6561726	1364	+
AT4G10620	protein_coding_gene	Chr4	6564279	6566504	2226	+
AT4G10630	protein_coding_gene	Chr4	6566625	6567629	1005	-
AT4G10640	protein_coding_gene	Chr4	6571899	6574427	2529	+
AT4G10650	protein_coding_gene	Chr4	6574472	6576231	1760	-
AT4G10660	protein_coding_gene	Chr4	6582535	6583488	954	+
AT4G10670	protein_coding_gene	Chr4	6584727	6586262	1536	+
AT4G10680	protein_coding_gene	Chr4	6587521	6588069	549	+
AT4G10695	protein_coding_gene	Chr4	6593774	6594478	705	-
AT4G10700	protein_coding_gene	Chr4	6597863	6598658	796	-
AT4G10710	protein_coding_gene	Chr4	6601989	6606354	4366	-
AT4G10720	protein_coding_gene	Chr4	6607850	6609559	1710	+
AT4G10730	protein_coding_gene	Chr4	6609418	6614883	5466	-
AT4G10740	protein_coding_gene	Chr4	6617143	6618426	1284	-
AT4G10750	protein_coding_gene	Chr4	6618676	6619939	1264	+
AT4G10760	protein_coding_gene	Chr4	6619817	6623351	3535	-
AT4G10767	protein_coding_gene	Chr4	6627036	6627522	487	+
AT4G10770	protein_coding_gene	Chr4	6628404	6632599	4196	-
AT4G10780	protein_coding_gene	Chr4	6634779	6637457	2679	-
AT4G10790	protein_coding_gene	Chr4	6640599	6643062	2464	-
AT4G10800	protein_coding_gene	Chr4	6643309	6644845	1537	+
AT4G10810	protein_coding_gene	Chr4	6645716	6646336	621	-
AT4G10815	tRNA	Chr4	6646430	6646500	71	+
AT4G10820	protein_coding_gene	Chr4	6648009	6648909	901	-
AT4G10840	protein_coding_gene	Chr4	6656516	6659265	2750	+
AT4G10845	protein_coding_gene	Chr4	6662595	6663964	1370	+
AT4G10850	protein_coding_gene	Chr4	6674998	6676981	1984	+
AT4G10860	protein_coding_gene	Chr4	6678900	6679436	537	-
AT4G10870	protein_coding_gene	Chr4	6683555	6684076	522	-
AT4G10880	protein_coding_gene	Chr4	6685829	6686347	519	-
AT4G10890	protein_coding_gene	Chr4	6688833	6693761	4929	+
AT4G10895	protein_coding_gene	Chr4	6693907	6694718	812	-
AT4G10910	protein_coding_gene	Chr4	6696712	6697455	744	+
AT4G10920	protein_coding_gene	Chr4	6696712	6699199	2488	-
AT4G10925	protein_coding_gene	Chr4	6702725	6704645	1921	-
AT4G10930	protein_coding_gene	Chr4	6705147	6708846	3700	-
AT4G10940	protein_coding_gene	Chr4	6708982	6710923	1942	-
AT4G10950	protein_coding_gene	Chr4	6711386	6713512	2127	-
AT4G10955	protein_coding_gene	Chr4	6713557	6718555	4999	-
AT4G10960	protein_coding_gene	Chr4	6713557	6718550	4994	-
AT4G10970	protein_coding_gene	Chr4	6719207	6722220	3014	-
AT4G11000	protein_coding_gene	Chr4	6731020	6732464	1445	+
AT4G11010	protein_coding_gene	Chr4	6732580	6734361	1782	-
AT4G11020	protein_coding_gene	Chr4	6734689	6736075	1387	-
AT4G11030	protein_coding_gene	Chr4	6738120	6742229	4110	+
AT4G11040	protein_coding_gene	Chr4	6745100	6746944	1845	+
AT4G11050	protein_coding_gene	Chr4	6747467	6751311	3845	-
AT4G11060	protein_coding_gene	Chr4	6754587	6756532	1946	-
AT4G11070	protein_coding_gene	Chr4	6759303	6760794	1492	+
AT4G11080	protein_coding_gene	Chr4	6760867	6763272	2406	-
AT4G11090	protein_coding_gene	Chr4	6764537	6766268	1732	-
AT4G11100	protein_coding_gene	Chr4	6768614	6770184	1571	+
AT4G11110	protein_coding_gene	Chr4	6771605	6777225	5621	+
AT4G11120	protein_coding_gene	Chr4	6777802	6780166	2365	+
AT4G11130	protein_coding_gene	Chr4	6780522	6784440	3919	+
AT4G11140	protein_coding_gene	Chr4	6794776	6795793	1018	-
AT4G11150	protein_coding_gene	Chr4	6799935	6801932	1998	+
AT4G11160	protein_coding_gene	Chr4	6803594	6806875	3282	+
AT4G11170	protein_coding_gene	Chr4	6811127	6817130	6004	+
AT4G11175	protein_coding_gene	Chr4	6818087	6819042	956	+
AT4G11177	tRNA	Chr4	6819292	6819328	37	+
AT4G11180	protein_coding_gene	Chr4	6820033	6820747	715	+
AT4G11190	protein_coding_gene	Chr4	6826677	6827383	707	+
AT4G11210	protein_coding_gene	Chr4	6832691	6833245	555	+
AT4G11211	protein_coding_gene	Chr4	6836106	6836588	483	+
AT4G11213	tRNA	Chr4	6837560	6837643	84	-
AT4G11216	tRNA	Chr4	6837774	6837857	84	-
AT4G11220	protein_coding_gene	Chr4	6837911	6839795	1885	-
AT4G11230	protein_coding_gene	Chr4	6840491	6845591	5101	-
AT4G11240	protein_coding_gene	Chr4	6847112	6849300	2189	+
AT4G11250	protein_coding_gene	Chr4	6849578	6850567	990	+
AT4G11260	protein_coding_gene	Chr4	6851277	6853860	2584	-
AT4G11270	protein_coding_gene	Chr4	6854364	6859664	5301	+
AT4G11280	protein_coding_gene	Chr4	6864097	6866116	2020	+
AT4G11290	protein_coding_gene	Chr4	6869953	6871661	1709	+
AT4G11300	protein_coding_gene	Chr4	6872151	6873541	1391	-
AT4G11310	protein_coding_gene	Chr4	6883551	6885517	1967	+
AT4G11320	protein_coding_gene	Chr4	6887254	6889059	1806	+
AT4G11330	protein_coding_gene	Chr4	6892055	6894149	2095	+
AT4G11340	protein_coding_gene	Chr4	6894208	6899130	4923	-
AT4G11350	protein_coding_gene	Chr4	6901682	6904244	2563	+
AT4G11355	tRNA	Chr4	6905485	6905557	73	-
AT4G11360	protein_coding_gene	Chr4	6906014	6906759	746	+
AT4G11370	protein_coding_gene	Chr4	6907674	6908386	713	+
AT4G11380	protein_coding_gene	Chr4	6920489	6925969	5481	+
AT4G11385	protein_coding_gene	Chr4	6927087	6927678	592	-
AT4G11390	protein_coding_gene	Chr4	6927892	6930378	2487	+
AT4G11393	protein_coding_gene	Chr4	6932370	6932718	349	+
AT4G11400	protein_coding_gene	Chr4	6938717	6940539	1823	+
AT4G11405	tRNA	Chr4	6944727	6944798	72	+
AT4G11410	protein_coding_gene	Chr4	6944918	6947333	2416	-
AT4G11420	protein_coding_gene	Chr4	6947476	6952445	4970	-
AT4G11430	protein_coding_gene	Chr4	6952799	6954242	1444	+
AT4G11440	protein_coding_gene	Chr4	6955601	6958553	2953	+
AT4G11450	protein_coding_gene	Chr4	6958681	6962046	3366	-
AT4G11460	protein_coding_gene	Chr4	6964468	6967093	2626	+
AT4G11470	protein_coding_gene	Chr4	6967729	6970161	2433	+
AT4G11480	protein_coding_gene	Chr4	6971408	6973799	2392	+
AT4G11485	protein_coding_gene	Chr4	6975282	6975945	664	-
AT4G11490	protein_coding_gene	Chr4	6978848	6981548	2701	+
AT4G11510	protein_coding_gene	Chr4	6984051	6984308	258	-
AT4G11521	protein_coding_gene	Chr4	6985565	6986715	1151	+
AT4G11530	protein_coding_gene	Chr4	6987093	6989599	2507	+
AT4G11540	protein_coding_gene	Chr4	6990978	6992555	1578	-
AT4G11550	protein_coding_gene	Chr4	6996823	6998829	2007	-
AT4G11560	protein_coding_gene	Chr4	6999896	7003493	3598	-
AT4G11570	protein_coding_gene	Chr4	7004333	7006081	1749	+
AT4G11580	protein_coding_gene	Chr4	7006648	7007738	1091	-
AT4G11590	protein_coding_gene	Chr4	7008603	7009796	1194	+
AT4G11600	protein_coding_gene	Chr4	7009769	7011375	1607	-
AT4G11610	protein_coding_gene	Chr4	7013729	7018049	4321	-
AT4G11630	protein_coding_gene	Chr4	7019700	7021348	1649	+
AT4G11640	protein_coding_gene	Chr4	7021770	7023318	1549	+
AT4G11650	protein_coding_gene	Chr4	7024856	7026146	1291	-
AT4G11653	protein_coding_gene	Chr4	7037086	7037358	273	-
AT4G11655	protein_coding_gene	Chr4	7038585	7039923	1339	+
AT4G11660	protein_coding_gene	Chr4	7042630	7044708	2079	+
AT4G11670	protein_coding_gene	Chr4	7044244	7053091	8848	-
AT4G11680	protein_coding_gene	Chr4	7053443	7055622	2180	-
AT4G11690	protein_coding_gene	Chr4	7056254	7057954	1701	+
AT4G11700	protein_coding_gene	Chr4	7058086	7058637	552	-
AT4G11720	protein_coding_gene	Chr4	7063255	7066878	3624	+
AT4G11730	protein_coding_gene	Chr4	7067035	7070968	3934	+
AT4G11740	protein_coding_gene	Chr4	7071860	7075501	3642	+
AT4G11745	protein_coding_gene	Chr4	7075826	7076680	855	-
AT4G11750	protein_coding_gene	Chr4	7077390	7078550	1161	-
AT4G11760	protein_coding_gene	Chr4	7079316	7080445	1130	+
AT4G11770	protein_coding_gene	Chr4	7082279	7083469	1191	-
AT4G11780	protein_coding_gene	Chr4	7085970	7088212	2243	+
AT4G11790	protein_coding_gene	Chr4	7090353	7093475	3123	+
AT4G11800	protein_coding_gene	Chr4	7093542	7099697	6156	-
AT4G11810	protein_coding_gene	Chr4	7104510	7108450	3941	+
AT4G11820	protein_coding_gene	Chr4	7108915	7112480	3566	-
AT4G11830	protein_coding_gene	Chr4	7115736	7121245	5510	-
AT4G11840	protein_coding_gene	Chr4	7121965	7125882	3918	-
AT4G11845	protein_coding_gene	Chr4	7126666	7128103	1438	-
AT4G11850	protein_coding_gene	Chr4	7129123	7133200	4078	-
AT4G11860	protein_coding_gene	Chr4	7134084	7138503	4420	-
AT4G11870	protein_coding_gene	Chr4	7140495	7140719	225	-
AT4G11876	protein_coding_gene	Chr4	7142303	7142434	132	+
AT4G11880	protein_coding_gene	Chr4	7143115	7147391	4277	+
AT4G11890	protein_coding_gene	Chr4	7147865	7149921	2057	+
AT4G11900	protein_coding_gene	Chr4	7150241	7153571	3331	-
AT4G11910	protein_coding_gene	Chr4	7156252	7158042	1791	+
AT4G11911	protein_coding_gene	Chr4	7158150	7159440	1291	+
AT4G11920	protein_coding_gene	Chr4	7160276	7163382	3107	-
AT4G11930	protein_coding_gene	Chr4	7164904	7165722	819	+
AT4G11940	protein_coding_gene	Chr4	7168173	7168967	795	+
AT4G11950	protein_coding_gene	Chr4	7173276	7174259	984	-
AT4G11960	protein_coding_gene	Chr4	7174886	7177840	2955	-
AT4G11970	protein_coding_gene	Chr4	7180350	7183677	3328	+
AT4G11980	protein_coding_gene	Chr4	7183650	7185575	1926	-
AT4G11985	tRNA	Chr4	7185704	7185777	74	+
AT4G11990	protein_coding_gene	Chr4	7186096	7189875	3780	-
AT4G12000	protein_coding_gene	Chr4	7193270	7195152	1883	-
AT4G12005	protein_coding_gene	Chr4	7196547	7197106	560	+
AT4G12010	protein_coding_gene	Chr4	7197211	7201393	4183	-
AT4G12020	protein_coding_gene	Chr4	7201656	7209648	7993	+
AT4G12030	protein_coding_gene	Chr4	7210918	7212992	2075	+
AT4G12040	protein_coding_gene	Chr4	7214703	7215989	1287	+
AT4G12050	protein_coding_gene	Chr4	7219824	7221328	1505	-
AT4G12060	protein_coding_gene	Chr4	7228007	7229941	1935	-
AT4G12065	tRNA	Chr4	7232799	7232871	73	-
AT4G12070	protein_coding_gene	Chr4	7231822	7234501	2680	+
AT4G12080	protein_coding_gene	Chr4	7239219	7241494	2276	+
AT4G12090	protein_coding_gene	Chr4	7242165	7242924	760	-
AT4G12100	protein_coding_gene	Chr4	7246422	7248127	1706	-
AT4G12110	protein_coding_gene	Chr4	7254049	7256406	2358	+
AT4G12115	tRNA	Chr4	7256415	7256487	73	+
AT4G12120	protein_coding_gene	Chr4	7256538	7261180	4643	-
AT4G12130	protein_coding_gene	Chr4	7263599	7265812	2214	+
AT4G12140	protein_coding_gene	Chr4	7266546	7267154	609	-
AT4G12150	protein_coding_gene	Chr4	7268837	7270267	1431	-
AT4G12170	protein_coding_gene	Chr4	7273967	7274727	761	-
AT4G12190	protein_coding_gene	Chr4	7278545	7278760	216	-
AT4G12210	protein_coding_gene	Chr4	7281308	7281919	612	-
AT4G12220	protein_coding_gene	Chr4	7283248	7283739	492	-
AT4G12230	protein_coding_gene	Chr4	7284519	7287542	3024	+
AT4G12240	protein_coding_gene	Chr4	7287803	7289225	1423	+
AT4G12250	protein_coding_gene	Chr4	7289192	7290902	1711	-
AT4G12270	protein_coding_gene	Chr4	7297808	7299930	2123	+
AT4G12280	protein_coding_gene	Chr4	7301769	7302994	1226	+
AT4G12290	protein_coding_gene	Chr4	7304405	7307138	2734	+
AT4G12300	protein_coding_gene	Chr4	7307737	7309755	2019	-
AT4G12310	protein_coding_gene	Chr4	7310416	7312577	2162	-
AT4G12320	protein_coding_gene	Chr4	7314778	7316669	1892	-
AT4G12330	protein_coding_gene	Chr4	7317560	7319739	2180	-
AT4G12334	protein_coding_gene	Chr4	7320602	7321061	460	-
AT4G12340	protein_coding_gene	Chr4	7321278	7322477	1200	-
AT4G12350	protein_coding_gene	Chr4	7324912	7326636	1725	+
AT4G12360	protein_coding_gene	Chr4	7327992	7329192	1201	-
AT4G12370	protein_coding_gene	Chr4	7331972	7332874	903	+
AT4G12380	protein_coding_gene	Chr4	7333511	7334469	959	-
AT4G12382	protein_coding_gene	Chr4	7333981	7334956	976	+
AT4G12390	protein_coding_gene	Chr4	7336497	7337356	860	+
AT4G12400	protein_coding_gene	Chr4	7338659	7341363	2705	-
AT4G12405	tRNA	Chr4	7341424	7341497	74	-
AT4G12410	protein_coding_gene	Chr4	7342956	7343590	635	-
AT4G12420	protein_coding_gene	Chr4	7349267	7353135	3869	-
AT4G12430	protein_coding_gene	Chr4	7365257	7368730	3474	-
AT4G12432	protein_coding_gene	Chr4	7365257	7368730	3474	-
AT4G12440	protein_coding_gene	Chr4	7376268	7380151	3884	+
AT4G12450	protein_coding_gene	Chr4	7385802	7386810	1009	-
AT4G12460	protein_coding_gene	Chr4	7391277	7396509	5233	+
AT4G12470	protein_coding_gene	Chr4	7401109	7401907	799	-
AT4G12480	protein_coding_gene	Chr4	7406105	7406937	833	-
AT4G12490	protein_coding_gene	Chr4	7409621	7410406	786	-
AT4G12500	protein_coding_gene	Chr4	7414150	7414927	778	-
AT4G12510	protein_coding_gene	Chr4	7417236	7417803	568	-
AT4G12520	protein_coding_gene	Chr4	7421056	7421738	683	-
AT4G12530	protein_coding_gene	Chr4	7428027	7428563	537	-
AT4G12540	protein_coding_gene	Chr4	7429876	7431602	1727	-
AT4G12545	protein_coding_gene	Chr4	7434199	7434858	660	+
AT4G12550	protein_coding_gene	Chr4	7439115	7439805	691	+
AT4G12560	protein_coding_gene	Chr4	7441764	7443754	1991	+
AT4G12570	protein_coding_gene	Chr4	7445362	7449086	3725	+
AT4G12580	protein_coding_gene	Chr4	7449274	7450031	758	-
AT4G12590	protein_coding_gene	Chr4	7451004	7453088	2085	-
AT4G12600	protein_coding_gene	Chr4	7453201	7454515	1315	+
AT4G12610	protein_coding_gene	Chr4	7454739	7458318	3580	+
AT4G12617	protein_coding_gene	Chr4	7459180	7459563	384	+
AT4G12620	protein_coding_gene	Chr4	7459646	7462253	2608	-
AT4G12640	protein_coding_gene	Chr4	7462599	7467862	5264	+
AT4G12650	protein_coding_gene	Chr4	7467978	7470551	2574	-
AT4G12670	protein_coding_gene	Chr4	7472079	7474519	2441	+
AT4G12680	protein_coding_gene	Chr4	7475104	7478356	3253	+
AT4G12690	protein_coding_gene	Chr4	7480641	7482150	1510	+
AT4G12700	protein_coding_gene	Chr4	7482466	7484405	1940	-
AT4G12710	protein_coding_gene	Chr4	7484837	7486801	1965	-
AT4G12720	protein_coding_gene	Chr4	7487301	7490077	2777	+
AT4G12730	protein_coding_gene	Chr4	7491383	7492876	1494	-
AT4G12731	protein_coding_gene	Chr4	7493178	7493360	183	-
AT4G12735	protein_coding_gene	Chr4	7493716	7494234	519	-
AT4G12740	protein_coding_gene	Chr4	7494578	7497596	3019	-
AT4G12750	protein_coding_gene	Chr4	7497814	7504716	6903	-
AT4G12760	protein_coding_gene	Chr4	7504852	7506255	1404	+
AT4G12770	protein_coding_gene	Chr4	7506382	7511626	5245	-
AT4G12780	protein_coding_gene	Chr4	7512047	7517005	4959	+
AT4G12790	protein_coding_gene	Chr4	7517055	7519422	2368	-
AT4G12800	protein_coding_gene	Chr4	7521322	7522670	1349	+
AT4G12810	protein_coding_gene	Chr4	7522831	7523979	1149	-
AT4G12820	protein_coding_gene	Chr4	7527048	7529356	2309	-
AT4G12825	protein_coding_gene	Chr4	7529471	7529892	422	+
AT4G12830	protein_coding_gene	Chr4	7531141	7533587	2447	+
AT4G12840	protein_coding_gene	Chr4	7533439	7536263	2825	-
AT4G12850	protein_coding_gene	Chr4	7536975	7538276	1302	+
AT4G12860	protein_coding_gene	Chr4	7538444	7538902	459	-
AT4G12870	protein_coding_gene	Chr4	7542233	7543474	1242	+
AT4G12880	protein_coding_gene	Chr4	7544381	7545327	947	-
AT4G12890	protein_coding_gene	Chr4	7546377	7547641	1265	+
AT4G12900	protein_coding_gene	Chr4	7548820	7549974	1155	+
AT4G12910	protein_coding_gene	Chr4	7550433	7553332	2900	-
AT4G12917	other_RNA	Chr4	7563157	7563847	691	-
AT4G12920	protein_coding_gene	Chr4	7568286	7569455	1170	+
AT4G12930	protein_coding_gene	Chr4	7573281	7573706	426	-
AT4G12940	protein_coding_gene	Chr4	7574172	7574627	456	+
AT4G12950	protein_coding_gene	Chr4	7576642	7577172	531	+
AT4G12960	protein_coding_gene	Chr4	7583272	7584630	1359	+
AT4G12970	protein_coding_gene	Chr4	7586143	7586849	707	-
AT4G12980	protein_coding_gene	Chr4	7589395	7591102	1708	-
AT4G12990	protein_coding_gene	Chr4	7594944	7595463	520	-
AT4G13000	protein_coding_gene	Chr4	7598093	7599257	1165	-
AT4G13010	protein_coding_gene	Chr4	7600551	7602729	2179	+
AT4G13020	protein_coding_gene	Chr4	7603101	7607155	4055	+
AT4G13030	protein_coding_gene	Chr4	7607267	7609843	2577	+
AT4G13040	protein_coding_gene	Chr4	7613316	7615386	2071	+
AT4G13050	protein_coding_gene	Chr4	7617561	7619616	2056	+
AT4G13060	protein_coding_gene	Chr4	7619935	7620942	1008	-
AT4G13070	protein_coding_gene	Chr4	7621346	7623360	2015	-
AT4G13075	protein_coding_gene	Chr4	7624680	7625192	513	-
AT4G13080	protein_coding_gene	Chr4	7626612	7628367	1756	-
AT4G13090	protein_coding_gene	Chr4	7631535	7632870	1336	-
AT4G13095	protein_coding_gene	Chr4	7634993	7635483	491	+
AT4G13100	protein_coding_gene	Chr4	7636438	7639037	2600	-
AT4G13110	protein_coding_gene	Chr4	7641378	7642598	1221	+
AT4G13130	protein_coding_gene	Chr4	7647389	7649831	2443	+
AT4G13150	protein_coding_gene	Chr4	7650223	7652289	2067	-
AT4G13160	protein_coding_gene	Chr4	7653647	7654925	1279	+
AT4G13170	protein_coding_gene	Chr4	7654944	7656594	1651	-
AT4G13180	protein_coding_gene	Chr4	7657196	7658197	1002	-
AT4G13190	protein_coding_gene	Chr4	7659435	7661106	1672	-
AT4G13195	protein_coding_gene	Chr4	7662371	7663177	807	-
AT4G13200	protein_coding_gene	Chr4	7668147	7669214	1068	-
AT4G13210	protein_coding_gene	Chr4	7669948	7673376	3429	+
AT4G13220	protein_coding_gene	Chr4	7674288	7675313	1026	-
AT4G13230	protein_coding_gene	Chr4	7675653	7676680	1028	-
AT4G13235	protein_coding_gene	Chr4	7677866	7678247	382	-
AT4G13240	protein_coding_gene	Chr4	7680153	7682622	2470	+
AT4G13245	snoRNA	Chr4	7684061	7684142	82	+
AT4G13250	protein_coding_gene	Chr4	7684156	7686876	2721	-
AT4G13260	protein_coding_gene	Chr4	7721618	7723989	2372	-
AT4G13261	protein_coding_gene	Chr4	7708598	7709047	450	+
AT4G13263	protein_coding_gene	Chr4	7711064	7711620	557	+
AT4G13265	tRNA	Chr4	7730961	7731041	81	+
AT4G13266	protein_coding_gene	Chr4	7705761	7706862	1102	-
AT4G13270	protein_coding_gene	Chr4	7731189	7733201	2013	+
AT4G13280	protein_coding_gene	Chr4	7733114	7736745	3632	-
AT4G13290	protein_coding_gene	Chr4	7740283	7742857	2575	+
AT4G13300	protein_coding_gene	Chr4	7742871	7746363	3493	-
AT4G13310	protein_coding_gene	Chr4	7750305	7753133	2829	+
AT4G13320	protein_coding_gene	Chr4	7753311	7754086	776	+
AT4G13330	protein_coding_gene	Chr4	7754248	7755955	1708	-
AT4G13340	protein_coding_gene	Chr4	7758610	7761057	2448	+
AT4G13345	protein_coding_gene	Chr4	7765073	7769688	4616	+
AT4G13350	protein_coding_gene	Chr4	7769770	7773815	4046	-
AT4G13360	protein_coding_gene	Chr4	7775128	7777895	2768	+
AT4G13370	protein_coding_gene	Chr4	7777793	7780366	2574	-
AT4G13380	protein_coding_gene	Chr4	7781782	7782553	772	+
AT4G13390	protein_coding_gene	Chr4	7783818	7785326	1509	+
AT4G13395	protein_coding_gene	Chr4	7785687	7786113	427	-
AT4G13400	protein_coding_gene	Chr4	7787691	7791284	3594	-
AT4G13410	protein_coding_gene	Chr4	7792219	7795824	3606	-
AT4G13420	protein_coding_gene	Chr4	7796850	7802251	5402	-
AT4G13430	protein_coding_gene	Chr4	7803933	7807871	3939	-
AT4G13440	protein_coding_gene	Chr4	7810215	7810679	465	+
AT4G13445	tRNA	Chr4	7814202	7814274	73	+
AT4G13450	protein_coding_gene	Chr4	7814960	7816004	1045	-
AT4G13460	protein_coding_gene	Chr4	7824034	7827004	2971	-
AT4G13480	protein_coding_gene	Chr4	7836675	7837684	1010	+
AT4G13490	protein_coding_gene	Chr4	7839137	7840284	1148	-
AT4G13493	miRNA	Chr4	7845707	7845927	221	+
AT4G13494	miRNA	Chr4	7846597	7846899	303	+
AT4G13495	other_RNA	Chr4	7842967	7846774	3808	+
AT4G13500	protein_coding_gene	Chr4	7856767	7857933	1167	-
AT4G13505	other_RNA	Chr4	7858000	7859691	1692	-
AT4G13510	protein_coding_gene	Chr4	7858183	7859918	1736	+
AT4G13520	protein_coding_gene	Chr4	7864394	7864924	531	+
AT4G13530	protein_coding_gene	Chr4	7866719	7868742	2024	+
AT4G13540	protein_coding_gene	Chr4	7869874	7870750	877	+
AT4G13550	protein_coding_gene	Chr4	7871057	7876963	5907	-
AT4G13554	miRNA	Chr4	7878185	7878561	377	-
AT4G13555	miRNA	Chr4	7878652	7878760	109	-
AT4G13560	protein_coding_gene	Chr4	7879561	7880383	823	-
AT4G13564	miRNA	Chr4	7885251	7885462	212	-
AT4G13570	protein_coding_gene	Chr4	7884516	7885982	1467	+
AT4G13572	protein_coding_gene	Chr4	7887440	7888638	1199	+
AT4G13575	protein_coding_gene	Chr4	7892320	7893705	1386	-
AT4G13580	protein_coding_gene	Chr4	7900374	7901328	955	+
AT4G13590	protein_coding_gene	Chr4	7901216	7904025	2810	-
AT4G13600	protein_coding_gene	Chr4	7911179	7912892	1714	-
AT4G13610	protein_coding_gene	Chr4	7915022	7921231	6210	+
AT4G13615	protein_coding_gene	Chr4	7924326	7925140	815	+
AT4G13620	protein_coding_gene	Chr4	7932138	7933542	1405	+
AT4G13630	protein_coding_gene	Chr4	7933861	7936565	2705	-
AT4G13640	protein_coding_gene	Chr4	7936592	7938645	2054	-
AT4G13650	protein_coding_gene	Chr4	7938967	7942898	3932	-
AT4G13660	protein_coding_gene	Chr4	7946155	7948376	2222	+
AT4G13670	protein_coding_gene	Chr4	7948579	7950903	2325	+
AT4G13680	protein_coding_gene	Chr4	7951491	7952781	1291	-
AT4G13690	protein_coding_gene	Chr4	7953352	7955769	2418	-
AT4G13700	protein_coding_gene	Chr4	7957072	7958919	1848	-
